Año,Distrito,Género,Rango_etario,Ord_rango_etario,Frecuencia
2022,Norte-Tartagal,Varones,30-39 años,7,132
2020,Centro,Varones,40-49 años,8,859
2020,Sur-Metán,Varones,40-49 años,8,39
2020,Norte-Orán,Varones,40-49 años,8,72
2020,Norte-Tartagal,Varones,40-49 años,8,63
2021,Sur-Anta,Varones,40-49 años,8,10
2021,Centro,Varones,40-49 años,8,1175
2021,Sur-Metán,Varones,40-49 años,8,42
2021,Norte-Orán,Varones,40-49 años,8,84
2021,Norte-Tartagal,Varones,40-49 años,8,110
2022,Sur-Anta,Varones,40-49 años,8,63
2022,Centro,Varones,40-49 años,8,999
2022,Sur-Metán,Varones,40-49 años,8,46
2022,Norte-Orán,Varones,40-49 años,8,98
2022,Norte-Tartagal,Varones,40-49 años,8,124
2020,Centro,Varones,50-59 años,9,517
2020,Sur-Metán,Varones,50-59 años,9,28
2020,Norte-Orán,Varones,50-59 años,9,55
2020,Norte-Tartagal,Varones,50-59 años,9,46
2021,Sur-Anta,Varones,50-59 años,9,7
2021,Centro,Varones,50-59 años,9,652
2021,Sur-Metán,Varones,50-59 años,9,22
2021,Norte-Orán,Varones,50-59 años,9,32
2021,Norte-Tartagal,Varones,50-59 años,9,89
2022,Sur-Anta,Varones,50-59 años,9,17
2022,Centro,Varones,50-59 años,9,530
2022,Sur-Metán,Varones,50-59 años,9,37
2022,Norte-Orán,Varones,50-59 años,9,38
2022,Norte-Tartagal,Varones,50-59 años,9,80
2020,Centro,Varones,6-10 años,2,102
2020,Sur-Metán,Varones,6-10 años,2,27
2020,Norte-Orán,Varones,6-10 años,2,36
2020,Norte-Tartagal,Varones,6-10 años,2,70
2021,Sur-Anta,Varones,6-10 años,2,11
2021,Centro,Varones,6-10 años,2,606
2021,Sur-Metán,Varones,6-10 años,2,55
2021,Norte-Orán,Varones,6-10 años,2,52
2021,Norte-Tartagal,Varones,6-10 años,2,77
2022,Sur-Anta,Varones,6-10 años,2,24
2022,Centro,Varones,6-10 años,2,621
2022,Sur-Metán,Varones,6-10 años,2,40
2022,Norte-Orán,Varones,6-10 años,2,59
2022,Norte-Tartagal,Varones,6-10 años,2,88
2020,Centro,Varones,60-74 años,10,407
2020,Sur-Metán,Varones,60-74 años,10,15
2020,Norte-Orán,Varones,60-74 años,10,31
2020,Norte-Tartagal,Varones,60-74 años,10,37
2021,Sur-Anta,Varones,60-74 años,10,3
2021,Centro,Varones,60-74 años,10,579
2021,Sur-Metán,Varones,60-74 años,10,29
2021,Norte-Orán,Varones,60-74 años,10,31
2021,Norte-Tartagal,Varones,60-74 años,10,44
2022,Sur-Anta,Varones,60-74 años,10,21
2022,Centro,Varones,60-74 años,10,451
2022,Sur-Metán,Varones,60-74 años,10,32
2022,Norte-Orán,Varones,60-74 años,10,48
2022,Norte-Tartagal,Varones,60-74 años,10,64
2020,Centro,Varones,Más de 74 años,11,152
2020,Sur-Metán,Varones,Más de 74 años,11,8
2020,Norte-Orán,Varones,Más de 74 años,11,6
2020,Norte-Tartagal,Varones,Más de 74 años,11,3
2021,Sur-Anta,Varones,Más de 74 años,11,2
2021,Centro,Varones,Más de 74 años,11,176
2021,Sur-Metán,Varones,Más de 74 años,11,15
2021,Norte-Orán,Varones,Más de 74 años,11,14
2021,Norte-Tartagal,Varones,Más de 74 años,11,14
2022,Sur-Anta,Varones,Más de 74 años,11,6
2022,Centro,Varones,Más de 74 años,11,186
2022,Sur-Metán,Varones,Más de 74 años,11,14
2022,Norte-Orán,Varones,Más de 74 años,11,6
2022,Norte-Tartagal,Varones,Más de 74 años,11,12
